City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kaitangata,-46.2817,169.8464,12.43,95,100,4.34,NZ,1681254418
84,apac,1.9756,32.5386,19.86,76,69,0.84,UG,1681254418
85,soyo,-6.1349,12.3689,27.05,82,100,1.88,AO,1681254255
86,okhotsk,59.3833,143.3,-8.78,74,26,2.46,RU,1681254419
87,ostrovnoy,68.0531,39.5131,-2.05,89,100,6.48,RU,1681254419
88,moerai,-22.4333,-151.3333,25.54,74,7,3.92,PF,1681254419
89,brownsville,25.9018,-97.4975,23.97,64,40,6.69,US,1681253851
90,atuona,-9.8,-139.0333,27.38,78,95,7.1,PF,1681254297
91,puerto ayora,-0.7393,-90.3518,28.64,86,71,2.24,EC,1681254419
92,reconquista,-29.15,-59.65,26.29,44,9,1.91,AR,1681254419
93,ucluelet,48.9329,-125.5528,5.05,88,74,0.45,CA,1681254419
94,maturin,9.75,-63.1767,27.39,61,41,5.23,VE,1681254298
95,yar-sale,66.8333,70.8333,-27.08,100,28,3.75,RU,1681254201
96,new norfolk,-42.7826,147.0587,12.73,70,48,0.45,AU,1681254300
97,trinidad,-14.8333,-64.9,25.99,83,75,1.54,BO,1681254194
98,kanniyakumari,8.0833,77.5667,27.19,77,53,3.82,IN,1681254234
99,pochutla,15.7432,-96.4661,28.9,46,46,3.63,MX,1681254420
100,east london,-33.0153,27.9116,15.77,66,98,3.38,ZA,1681254350
101,kholm-zhirkovskiy,55.5189,33.4731,7.34,72,23,1.09,RU,1681254420
102,crossville,35.949,-85.0269,20.95,28,0,0.0,US,1681254336
103,georgetown,5.4112,100.3354,27.96,93,20,1.03,MY,1681254064
104,airai,-8.9266,125.4092,18.15,84,67,0.72,TL,1681254292
105,kaka,37.3482,59.6143,22.19,26,99,2.22,TM,1681254421
106,mamallapuram,12.6264,80.1722,27.81,72,1,1.53,IN,1681254421
107,shimoda,34.6667,138.95,20.61,79,87,8.11,JP,1681254421
108,wexford,52.3342,-6.4575,5.5,83,40,6.71,IE,1681254421
109,alappuzha,9.49,76.3264,26.45,85,5,2.01,IN,1681254421
110,cape coast,5.1053,-1.2466,27.28,83,62,5.37,GH,1681254422
111,ondangwa,-17.9167,15.95,24.37,30,30,3.79,NA,1681254422
112,bambous virieux,-20.3428,57.7575,25.68,83,73,4.77,MU,1681254422
113,yumbe,3.4651,31.2469,20.88,63,80,1.15,UG,1681254423
114,lebu,-37.6167,-73.65,13.49,97,99,0.14,CL,1681254034
115,wagar,16.1525,36.2032,31.38,27,3,2.76,SD,1681254423
116,catamarca,-28.4696,-65.7852,22.45,73,1,3.53,AR,1681254423
117,dingle,10.9995,122.6711,24.75,76,100,1.38,PH,1681254423
118,ponta do sol,32.6667,-17.1,19.84,83,0,1.72,PT,1681254298
119,sur,22.5667,59.5289,28.19,52,100,3.82,OM,1681254423
120,qaanaaq,77.484,-69.3632,-22.34,78,0,1.06,GL,1681254293
121,poli,-3.3333,36.8,15.64,90,79,1.44,TZ,1681254424
